password,strength
"K,7o5!/'Uk",2
mQ5pwzD,1
UcO%mhA%{)ldL),2
LERQcwWQ,1
byhbvb,0
hpgd,0
i.2ltT%g}G4b6,2
ybmk,0
etwb,0
ofjykr,0
nsbu,0
DfvRwQh6Q,1
JKS20Zw2,1
mDqlGu9,1
z):pR:0Hif(,2
orwfjw,0
atlww,0
"\</iRJ0>'r,Xl{p",2
AgmXB2r,1
J;*a7m)`R%,2
"wE""p|5KUKR",2
ifzez,0
smvz,0
aR[9[uP@N<4P`hy,2
@*A:.P('a\cPn,2
boeb,0
dybLJyhA,1
vYqWu1Ioc,1
mnxedv,0
ce2awx3,1
6ZDcz.)@Llm{In~,2
clhv,0
jghx,0
zjduv,0
ruey,0
Z^A_Beju`;,2
fiock,0
"""&(T_xGx~'tZL",2
[y[I8AQj\lu,2
yrbg,0
UHXRz1Y2,1
M26FLNl3R,1
uc_v-;pT}MY\,2
GzFBOl6,1
heT3OEy,1
ATIRx2GXh,1
6XJK55idbB,1
peppx,0
K|9#f{0Dbc!jcu,2
!H!#UF89}O,2
fqVNrHt,1
ITbBakWAy0,1
M+}HX8k)~sG,2
hdmiq,0
Nd!{'xd!^BOGSO,2
ggero,0
1COAef6,1
bszeaj,0
dXkhTnp,1
5erjB0dqr,1
_>|Cu'2Zg59,2
wrnoxh,0
"dy692u""H*|6B]{",2
^>2(d071-2w&V,2
8o9nfWFy,1
k5ZrVjfg,1
s7KGpjAS6,1
hsyev,0
sI4XTI6I,1
ricdd,0
o#`6`})y_g,2
q3ZUrXj05,1
izuy,0
dhvjl,0
u']nwiKdkM}<).,2
anpbsw,0
tjba,0
abdrtn,0
gcbtq,0
yzlpzk,0
f57Grh4,1
ljm['ijR7O8eB,2
clhako,0
Q`U]6`wn%wc|Ou,2
tpnfzk,0
indfor,0
hynl,0
J\<byt@x8\I!E'5,2
DaRmmaOnc7,1
?.@P/aMuCR:0(P,2
PHMGmusXf,1
"X;P}F;ZhD,L",2
989ufB1,1
8GZT|\yl$DwW8,2
"""iCF#SsS^>wsVR",2
yjxsa,0
mjkXdThEIU,1
zyxtRYE,1
vHmmVi5pV,1
thaw,0
bqLNlgd,1
jEb4Tlp5FV,1
mtbwrc,0
laobts,0
atbx,0
guer,0
6Mp&w$lw?A}cp,2
{7YW-Lr@Q+'CLmz,2
KhZkamu,1
K&LyNCM{rPI9Q=c,2
TG=ua}bccuvtQ,2
smyrei,0
vo7Zhwe,1
ojrg,0
llaak,0
CthDQHVK2m,1
InqJnMsUax,1
RwZuDlyaAP,1
nmblup,0
xhsheh,0
_4xhIc_tao-JSgT,2
fcdnw,0
Ux6ZG7Nf,1
oqbjd,0
yqip,0
d$rkzL8hOv_Po8,2
"AOa{,1fd_KJxRU!",2
RIt5Z2SfMq,1
gDmwF0F3,1
wgpf,0
ljZsjSe,1
QQ07TYl,1
o3ZQmpo3G,1
L.a5hUtUQt6GKD,2
RhKLpmhZ,1
apfh,0
:6Mg$TP|wXEv,2
b@o</C$q93@,2
SZO14Cm,1
Gf0U>CdTdR,2
gDX\-j21xx9O,2
.OLKzV9~y_h0J,2
"ZB7z4q;,EU\~?",2
'>d+1H6!f$L,2
gWTxD^kj?i@q/6P,2
hqicit,0
"qv@{cEa,;C+*>Q",2
iplnl,0
"8aZ,M6~LnKn-",2
jsid,0
7TtQHGTC,1
qurry,0
-h:{:z*m5_T(0Tm,2
0uKMC1zQm,1
5M0m7Lp,1
hdnd,0
pgIWQW6J,1
smtqcd,0
bucxt,0
hwic,0
>^ZpBW9kyPe79,2
1y3wuTGJ2,1
jL03ErYgv,1
nebex,0
sfnpx,0
8H9#r4G(Yq,2
mmhu,0
ofzxoq,0
ylckuk,0
S^nf:t5j3Ol5,2
KzPpVC0,1
hdzrhy,0
F2nC9bt,1
uykt,0
Hlx.&[:QzkXC7m,2
vbUJ0Fow,1
jWPG2oi,1
zoyayt,0
k+'wBhp7&A,2
KQr7HZvNp,1
l6biSqH1E[S,2
]MllYr1I5n,2
x0cnrky,1
cItSSWg,1
fflasn,0
HLoJNEBQnc,1
9sAE8ps,1
648DQG851,1
":%Wl0""Bno7mD|bD",2
0AVAnrFr7g,1
"kA*}k$}_~X*W,e",2
a@+]oh+jR{,2
hezowq,0
pomx,0
"&C[/}G""X\@",2
zfjcjk,0
bsuc,0
|2D7F2Y8y=oq,2
=@1du8Z;oR20X22,2
luwA0QQV,1
[i{n`fn`}},2
yjxukm,0
eoqj,0
5<5@^JyD@W7GED,2
NH54BZPB,1
5!)yp'3ZnIq&C,2
s3Y6Skz1,1
pytzve,0
Mc@B.LG6D*,2
tiky,0
nkxfyw,0
_1]T6q[~<*k'*,2
SM]#%U?$BmuC,2
engmj,0
.:r&?@X^_c{XOf,2
jqeng,0
H'Yfzvo9;xLDP;,2
fctdZljQ,1
QnChg<$LR*X9Gx},2
qvumbq,0
pgqve,0
lsa|WQ0W~ydp#A,2
TCkEpNKed8,1
wfrc,0
nwijwh,0
afmh,0
;KUZ]$enMb|,2
MoJmAgF,1
0h6naeuZSw,1
",J+|qvR0?+Wj`",2
jugda,0
/-4>!-g\9p)Q,2
avenj,0
6Xg815m,1
ESc54qGK,1
L0JtigrS,1
ofedw,0
ugNo3KG,1
yg1f_83&tJ,2
e%~in9$@sCO8,2
acgy,0
MiFWJTPP,1
6]X:=K#FeYZDK{j,2
"!""Ns7(mP@vE",2
qxprv,0
V<0Y-btnXpc'G,2
ogzqse,0
zolo,0
lU4WgUU,1
$QQ(ftaS-[jdyy<,2
YeHv3fKIA,1
czgq,0
hMEEo\JO.q,2
uBE_*tD5##5,2
zmkjm,0
8QNjSHEed,1
sbaho,0
fgckvs,0
LgM69w2,1
lquj,0
O)<nlze@ubmZ&(,2
uth_IPN|3NW`],2
xzut,0
p6j5HcdFu1,1
NaniAHno,1
F~&[MR!f|w,2
llixvx,0
atjlvf,0
xgoiqf,0
TVHykcy,1
aUrbJyP,1
L!#h-?WR'2>9?m,2
prjjrn,0
cb&fXlo9;$&HH!,2
edeto,0
IXLOEhY,1
nYMVHBDN,1
JVhFGTp1w,1
xufac,0
d7vYPzEIse,1
JcXeZN4,1
8TaDfY72Vq,1
txzs,0
jwmM3NT6a,1
rbwmc,0
fhqm,0
"i)S=,qm""EZh>M",2
;veEiDi$]~?C|#z,2
czgahp,0
otje,0
U_d103'ziow=#U],2
jflvc,0
ZEGFRejnS,1
kOKxy+S8-1RZ,2
wtjfjc,0
Ey22xTT,1
vKgRvNLgb,1
TAUwZST,1
ulivhu,0
6=\3({pYi-r~sD,2
gbqrA>!gA#J$B,2
Ub0xb1aT,1
ovEuwC8TB,1
nuwauj,0
bcijhb,0
"m.V$xjW""P-",2
usgvz,0
qkgw,0
8h&&+r;%I/:F,2
NL4PqwN,1
Fz17TY5dyX,1
ccovo,0
oxxvjv,0
STSlsKaYg,1
A~KeUWD8K7#p+H,2
Xx8RJD6J,1
{PnH!EBBdeM#KS,2
KKQtFHwlpz,1
oIbDqHb,1
rsvjcm,0
vlmf,0
4MRynN5h,1
Pq19cTPQOr,1
0@bbPV1)IQ}),2
k}`#=V||oeA@n~,2
5OgRH66S0,1
#Y%7@Uu!0z{yZ,2
7dMu!Bd?7fZMvQ~,2
Vgu5aqVX28,1
1PceG&ijH&]pW,2
zhwfgl,0
elo[J[Mkz0ofKkS,2
Xh05z3VH,1
mqVLBvXskl,1
Q[yt\D^D40!M|b,2
"tCf2r2""L|V*""",2
uyjtgx,0
I_Y|*'9;)J7,2
4uDzdrGQ,1
kivmhs,0
g!=q-hCcRZ;,2
o[?2_bT_d<R,2
yYDeBb6X2,1
qloaud,0
RqfiiJDA6x,1
jlbe,0
lQUyTZXr,1
y9dzwCRv,1
=NN%bI0N1i|bdZ,2
qxxbch,0
=zL\0ZIyH~Ob%},2
"ui$T,.W=L,!{K",2
dpks,0
TRfl3Pdbn,1
Q9CG7{<TNJ:O0,2
[Kqd.Vg1o`dJi,2
pnfsy,0
+~yRI^uRsHj!],2
wqmxt,0
"(;tTC^2,_3y@",2
odeqkh,0
"-""I2ddVJ$w4Y7",2
wnjIU7l2,1
R02Tn8ze,1
Fh66gA0D,1
vnjmza,0
iazmvq,0
icrshk,0
idbcic,0
v0p)`(O{bU(z,2
LCAulOPxW4,1
crupm,0
uS-AiYW5b)1v9,2
P5U:Iz=[3Ox>Ca,2
clzh,0
matbud,0
gwztoq,0
7TVhPKwV,1
{fXP20a<u;6N,2
gbadhi,0
;U$7ujB^&q`{,2
ut14(SqoSjoi@,2
m5Bg~#C#OFS9G|,2
1S\6O2#Ci^#xV,2
mQETZNEAg,1
seivij,0
jbit,0
nonhis,0
ot09uXZ,1
whfi,0
"b;A[,hqOaGua`Ub",2
}czV6$s1+Z,2
fvzim,0
gqcf,0
dgyuEJRl,1
)$5XK{)M*R!.,2
tNKNPGSQ,1
PC2wBnS,1
dovnf,0
Hcvuh8eia,1
mqobu,0
h_VeWq\x*P/yi,2
zrxl,0
BA5RRHHzI_,2
\:eG6mwOqY-,2
tejj8pNd07,1
seznwd,0
LLqPBUnN,1
xA7KuJJJTx,1
XJnEA9S2Kw,1
DpsO59mI,1
PU9or6;}=%D,2
"""""1xQ6W1tN<P:1",2
DX12Hx0,1
mqfzu,0
hqmi,0
feSqBMV,1
fhuna,0
GH0jV2Nbgy,1
"][1""n""WCZ@^E!n",2
D53zV?V#6Kc,2
VchJotl,1
cnmpbe,0
"@0r9mCJVb{r,",2
"3>_T""MBrLd/[buP",2
2!/+TuN}#drz,2
"/>*VR(u^0z""""U",2
byfef,0
"+Os:a+H,i;N",2
Be4C5$k/4esC,2
nalizl,0
uqpyl,0
sywx,0
yihp,0
oDI1M3l0M,1
xjvwr,0
hfxs,0
rqe%4N|88x,2
vqom,0
havuly,0
IYudt4qYC,1
6T2hc0CJV,1
vb]ous?\<rA6`h,2
ppcemj,0
"$%/a,anO3'w%",2
iskj,0
BFNOndSE,1
4h5EV6x5,1
fraaa6g,1
ivoosj,0
otfrrb,0
RytgmR42z,1
zkvwie,0
qybh,0
|0z6jfG'/8_pF,2
.t$EVUn~Qw].WSa,2
A&-kS0^ngzU(x:,2
F6Zxc1s,1
yVq`b$=[$$,2
"sw2FVv?,4xs9(",2
#H/~p]CS9D(tWR,2
68jqM2W,1
3~q.*R:SaWmk,2
sJqIOLmxy,1
"2:p(Lj""h9\*Y",2
"lF(;L=>;]u""",2
xniowg,0
qhgq,0
gonb,0
tglfm,0
xH3iAZI,1
bqtem,0
bwqqaw,0
twif,0
koVTcmbEj]7{,2
./#@?]<zLf*d2,2
"Q;uUX;I,$4xkm",2
yogwc,0
Qby4CWR,1
avgv,0
Y-llE*FFwQG,2
ucaj,0
mrnn,0
VOY5ryxWS,1
Ole5mOouxC,1
kehedp,0
O3FcnyUo,1
ptpkc,0
cctnoi,0
edr5Mw4t4,1
XH\2e=0-D*F,2
LoA38q5d,1
EG7Fe1ux,1
fnyo,0
qzlgcp,0
176pOYQHq,1
GGJRL9tx,1
1Oqobw5,1
xSA6mG6cc,1
obbn,0
ekjsWEos,1
Imx1Mybe9,1
krgbq,0
fdpxek,0
5yoIVJg,1
kCRAUUMa4v,1
yollc,0
shV1b7k,1
ZWvsqBEKc,1
kibhp,0
amvkqw,0
BwxPl6NeBQ,1
x4jifaCwD9,1
vHTnImJnQp,1
tWtTFxOVPR,1
nywisd,0
"|""}Vy_Nj^KHqx7",2
uw99K9l4GE,1
4FoUfxv,1
"""n0,HQW#2P'z\3*",2
V5h;.\CX?J,2
DksVJl{^K|5AhK,2
sobxy,0
jUzmNyr1q,1
XUFmen3,1
dAN$5uXN]CC%,2
"A"",6Wq'6+6",2
J6ZmNmSOB,1
@E_'2y'X}h]m,2
"[""el/`UT2,n_",2
",%KiOg9'oJ",2
nxnkm,0
dkdnc,0
couh,0
05QGAD2,1
lmjedd,0
jjHySO7,1
Z)S!0UnLC:Cd;,2
\1Fqy!-@_(,2
opyxeo,0
"_}]""d)iQjxWO]b",2
un2$8O^>]oew@,2
1`F9J/_~i8q_,2
WEzYQtU,1
oion,0
dQwj+o5~#E{y,2
kjenfu,0
ghpdb,0
SJkYch7IG,1
"U*mduS!?a""r",2
"xaoD;aW4W)oVD""",2
yr8wcOnd,1
ojmq,0
mmmhv,0
r0m5rLN,1
smoif,0
ilkl,0
lyekt,0
v-8onT`:;XO1]7<,2
ekiqqu,0
Yncl63F,1
"u_,y""N#=^;v^5?",2
"b,{dpnA<V=~,",2
8SAAvxJSn,1
rjxhy,0
"""-J,5o1z@6",2
4nD4Lw9,1
xRSZ9MXFKX,1
rklmhu,0
_00>@9OByS*XlI,2
uqBPVua,1
MKlf?Trg$V7',2
7qOl3eIqGW,1
5sti7tN,1
Q)9r?^;DGw,2
sRk8Q31n,1
Sd02gaMse,1
r@x[4\#3.^@@,2
qjcmg,0
ndkgx,0
zGL4jYoTA,1
F?2%A~:^YUY,2
qmkAzvPqU,1
zuxzd,0
"Rkc,$A62""^Ks",2
&d!}oJd;nCa2=,2
"uBx(ADUvk""%+Qv\",2
o934f6q,1
Bsgj7QSDoC,1
5R\2H+ND~`C\kg,2
"XEFg@qybUBz"">K",2
SQvFefL91F,1
yeld,0
uvSydve,1
bpcw,0
mz5LziP,1
nsfau,0
MMi95oKTMp,1
sjmocz,0
cbqm,0
uelukr,0
qqfwyd,0
bufnc,0
n1QvJlYT,1
"b]%JR|^UYI,",2
5w)?96:6_A),2
WXNv6yuyhH,1
hdbkno,0
mdtug,0
gRn1BncEsO,1
"""M)%hn_ZnEYpm",2
SrgBGXZcix,1
ZMfzo46k,1
BQVwE2x,1
sFSqhNY5Vp,1
DYBjVZynP,1
sfgsgo,0
vt36;&ze8\,2
mktbcm,0
qqmrn,0
t9J#aYq&#zO;,2
emibx,0
eNvV7wRM,1
k6nawzOX,1
fvfk,0
hED0#-N/-dY!m,2
wNlB9Ta4,1
Vkc{V*}eSEnEnE,2
tgxvqq,0
zxjd,0
gtxubu,0
"'1J3%S4nANv""p",2
`|_h.7H?B]L,2
kbcwpm,0
)LOs=qdVuB,2
pprtm,0
VcuaZeuuTA,1
TQpM\s1B>vs)*B,2
670ub2FlF,1
kSg1xx}3@`Gi5~*,2
wXkzLrORsB,1
jcwelt,0
";<GB,OX1Kj;.T",2
09DE4dUzf,1
mntv,0
5EkfJ2RY,1
uhcph,0
ogngqb,0
zngkth,0
~%qW>nfY(v!r',2
oikwj,0
aszvg,0
0ljV8hOO,1
qtgu,0
igxl,0
snOacJ9n,1
fupj,0
caya,0
dspvyh,0
nazypyq,1
]d.(+samC^,2
jmpcl,0
",N.gB^]e_OZ",2
a4HGA6HdB,1
fwgki,0
wi.)`qdIa\<,2
pajv,0
jxrqey,0
UBAys3QZZ,1
k)rJM|\3y%L,2
jhvu,0
"HG""0)kK3SV",2
qrlgr,0
c85MphHa3,1
nrmje,0
7lDXq0F0,1
QY2O38CLQ,1
bfqm,0
vckaq,0
56AIzIO,1
ZPYL6Lw,1
AY9^;]4cJ7X(,2
kmfcmj,0
wisfby,0
}bF}+o}.W$3,2
iswek,0
jbyy,0
zxyfo,0
eirj,0
kuom,0
dkjjk,0
bwbZ&{iNyt,2
hpmyc,0
[+S#qRVZqO%@ph,2
qpcz,0
DTRtzG3y49,1
vxlz,0
nrzlkp,0
zfxZa3CR2f,1
fqvqq,0
naai,0
v_yER&`2rY7UVY>,2
m=b&g:J:*uV#,2
UD2R1xtR3,1
yPH0.qGR]:,2
ZyfU1hb,1
faWW7n71ZT,1
j'6*@F@ILZ`;,2
zvuA5HAq,1
WbA96Qoi,1
pcrm,0
yQuySUiS,1
torw,0
pVbFFL4/%NpI',2
rhqrs,0
uDSIPNsN5U,1
3TjTzwjo,1
Ej*5\ll1PL,2
IIWmJZ7,1
SRqxIfSL,1
yxfuvf,0
xiD5W5D8h,1
'+~LdA|^y':8,2
Mh3tq!=uUSUHP{,2
=pOXiF{?^9vowIj,2
"P,qBIt2Nq9y7s",2
<yi$Zh_5DAeO$,2
hniZ2\{~:RyS#,2
6?G>K#M]t5H@&?,2
'Cw:hCjB\|T1,2
4rf9P1j1,1
t|7F{pC9ehFkS,2
aJ5VIcuU,1
'_ss(46@5U?)Z'H,2
JNJvWn8t,1
vdyco65H1D,1
2cpSbcBzh1,1
yhvLqzPRs,1
fzjc,0
cGJE4yxAgB,1
MBxbHTu,1
oxom,0
kPHTXpN,1
dumd,0
vrvic,0
j2HOYJUHb,1
!Cxknber4#,2
nuUtQd6rB,1
J*w9Py'I\zrzd,2
edgh,0
a2cAMxI,1
qwsvcm,0
OpS@J@gtl^/e,2
WPmKl4fDZ,1
o540Yqqn3,1
sZh0o0Jx,1
b>ye9zs^$fi[7N,2
w-P1f+tIMz,2
yreyfu,0
ri)*upS'sxx,2
NNAPP3O,1
k93hUknL9,1
exWiWWECg,1
nupncf,0
PhSD7KN`}p.3&6,2
U*MxI8PPKr1M4id,2
bxkydy,0
xpibiv,0
"}y+FOJ7{Dk)r""]_",2
"6G!/$""DM!""m",2
rajgzf,0
Jh(yBcIZ[kXMo,2
oaiev,0
nBqFtZw,1
jswnmh,0
Mc5Qi5L,1
3UZZ8l6a,1
jF7fZ_^HOS`k[Y,2
6zczNlyQP,1
nqfpdo,0
]an+j{0_8CI~0'',2
h4b6pd9H,1
j4K2NisUic,1
ce05xKjvYB,1
"LJ~{?:9,51v?",2
pqlmr,0
mwmajc,0
*0=$d<PVdyNA;Ku,2
2IOiBXuHZW,1
kohi,0
Q3JDjKGnf,1
Tn[K`eTaoI([B|3,2
v89<P%Rm:_j-\ne,2
"\""etr20:m'",2
BakiTFT2M3,1
"4,Uv]D,O%UPtd",2
llms,0
@>hC?{:Ea4,2
xdket,0
1rbAytbu,1
qbY0EN:HPg3>,2
BW7a1VUsO,1
mokqc,0
qbbtz,0
l)qws=#?5x2,2
e86dYrkRV,1
7VqVtkd0eV,1
.Y99}':vClHM{WZ,2
8MKSG!w#4T,2
DnlgMPeR,1
EcanCvQOka,1
09eknZG9i,1
G2LqjQXP,1
UvdOIqE9B,1
aatdt,0
JnItvopk,1
lGSwKm1x9V,1
jeqyo,0
oKeb8i6,1
jLyBhhwUVn,1
uvokre,0
cdfbbl,0
hlyr,0
deoci,0
oioios,0
mxjsuh,0
7f4lCnR0t,1
B&;['[$*U>lC,2
^ou:ImNc!q8wn7,2
"cRW""T705p8yd!",2
^bvt^eV9HIJ.,2
albyrg,0
>-]wL_OT)e%WzTc,2
zcgnsk,0
9P6jpZv,1
qmqw,0
lpgviu,0
T&$.$qagDtg`~,2
VeN_)<B_`o+#Z~,2
0{4`BF.o:4,2
H5yg$cY[>lx,2
annzmq,0
GFxyaPZ3C,1
l#]+%ES;'pt~,2
d#I//'lKlmUyPH,2
ojer,0
f)d:BHjUhfV>zS,2
ApcU3ch,1
'79#=gH5iJ/JSb7,2
<)\z^b=W@WDscc!,2
qppti,0
IVnoanS~Sb<}X9,2
qcnjel,0
zpmn,0
"=B<f]""J/q8ogvu",2
gmttoq,0
cecy,0
qfip,0
5lzLcVick,1
0vPdSZCwh,1
yjgry,0
QLlLWh4S,1
piespq,0
6q9H5cy,1
"NXDD<YGH,`C=",2
yojwu,0
J<N>Xzi'T5^Z6,2
encux,0
T0BtIFjcJ,1
yajvo,0
_M@e;vYmJeOf4L5,2
geiol,0
grINSZgF0Y,1
pztoeb,0
q9NZyfl2v,1
eLqJferF0U,1
0aFI9Lx,1
r4pvcA2,1
5R&zhuBul|fY(#9,2
j7yCGscRkE,1
bjgx,0
msqza,0
rxozz,0
todau,0
agofKmB0fn,1
"zm/,W%oUD_.<fC",2
kMyDhTB4iK,1
qsabrc,0
zF2xxRurzI,1
xqiu,0
RrufteGKK,1
UbGdgtUl9B,1
@zoL.kR*.+CQj,2
vhizfs,0
htPaqLNpc,1
3ahUUdy,1
rswie,0
mCy2hV1Ypb,1
fwxdx,0
1yuVndXs,1
dkmrz,0
ekq)eHc]coT~P2I,2
edqmr,0
tsbbod,0
.<LFI$4oN#,2
YpWHF7IOtV,1
U]||&jc1cG3ympx,2
r8k8NQH,1
v3yoSMi,1
9FEIvWTcfZ_;)7,2
auvkni,0
oujk,0
gXRA5h4zk,1
`(X91Q\H5f7,2
",3'$5CFOSE+}O?",2
ecbn,0
ajtltp,0
pla4EYLvEv,1
Mp30TdIb9X,1
cjgxk,0
kYTJCoJkK,1
wlgb,0
nfov,0
FPSSpQc,1
Syz;\pOnTgW,2
tfYqjqO3,1
D3RTs]L/e(al,2
"-43>huJ""uamT:FE",2
`9pLQ6*}(w),2
kdyve,0
TertnHTj9L,1
uamgx,0
5KdKcR5,1
kvfulj,0
ndvdg,0
hv2miLfO[G^iF[,2
oinbzi,0
auQqhMTGGu,1
0gbBr0uVC,1
&WMcRAFkLfG&JT,2
EseMaIMI,1
zPanOhth9,1
slzr,0
HAe3Xnl,1
ejeu,0
akeae,0
4djSxkH,1
dulb,0
ykhnbk,0
rqgzdj,0
iU8sRu5,1
Y86mJk5Ix,1
r3pytlNdKm,1
htlqd,0
V2KP0jHi,1
hfxn,0
_J)W4:Rv_|;UBK,2
pwqbec,0
TFZQFsq'*Z,2
0gbl+zZ-IVtS\>],2
zjrutd,0
wkXwlcWn,1
Y]UyzY*/yW?j,2
ExLQRzaKp1,1
sSp2hVg,1
"iiiVcHIGD0r""8X@",2
r!ZEtda;m@C&G,2
K05_uWd1OtDCH+;,2
{uKw7w*(6},2
dfhhs,0
a37qqFIgnm,1
!L(+7qza{wDW,2
(~wE`%wg_RIyJ9,2
dgspw,0
HVSlv5keo,1
gmfm,0
|ucNhvondc_CHT|,2
9ys03Ye,1
n2ctystdWG,1
jnezld,0
zqbb,0
qswibt,0
}Y%jks-|YGgQ_,2
pqmh,0
"""3H,o.+,n2",2
P8x5AS1,1
?cog|%xPU<<`SX0,2
fvza,0
1cVB{LeGCZN,2
oNzAFbY,1
0QcC6ipIyiv,2
gxDNjk\TS^'Jn,2
~Gifo~_EZ-D,2
uepvpy,0
OkvlVkkn3N,1
"8)mF63PKX;,-",2
blie,0
bcigag,0
"Kttc[)Z`""l",2
"N+,/[Q+F_:U",2
"x!Amh""1kQkfS",2
jwdgwu,0
bEk9xEfaMn,1
sbgc,0
wchu,0
fphahj,0
exoj,0
heqlg,0
vyxhni,0
8Tuokqu,1
xiivsh,0
lavgp,0
A@C;r$O%)h@tN,2
6oyQziMx4,1
cpsb,0
AgdZqLzQ55,1
XbusZYcT0x,1
fundwm,0
QJ0qtXZv,1
vvmhz,0
ofei,0
Um5R4r58Xf,1
qigb,0
N&x9A]zb$sYAM!,2
<+zI)<dC.U,2
azfj,0
epoeqh,0
hbgaa,0
aUORtm3,1
OSxIUd6Mb0,1
S4XO7QTM,1
iP2G9GNA,1
ahxczj,0
rD#6;.-SQLIKK,2
a#ThADk6'K,2
hqgib,0
"Kh/V""UX9y88]GO",2
sMsAd08,1
8c4`(#m}s&x,2
okpkj,0
vblajt,0
jicb,0
stbdzt,0
rsaz,0
"Q,l:""O;/@:",2
iquzf,0
Y'WP9P9q5&uR'a,2
".&sb""FL%:?_",2
FmmoncCR1,1
iplrww,0
i+^cXPC7Gp,2
O}um0D{QuTQ,2
5dVOpoxj,1
NvquLrUkBV,1
7ZD5MIoKFu,1
mvxna,0
K7tZSHT4,1
dfyw,0
*.2+FB2!\y{,2
xxploa,0
:?M&Pz='FFbS:PO,2
dxjld,0
wgbr,0
QOJL4WsrOk,1
YpdlX<fzvKUM,2
wola,0
OzwYGSRj,1
66@c/}IXv`KN:,2
"!P~a*5ES""7+",2
i([(=k=St;6p&,2
tcpldg,0
eSYuO2ZmJ},2
FLa{)jsB!H,2
L7kyP|h2V$N,2
FJLmzMxO,1
2geaIep2CD,1
jTUdDqArK,1
tHIuXaMV,1
"|""|2A6""Viz1e+}!",2
jszkta,0
2>%=]-mcDV),2
PvnSPv0KZ,1
GsTTSCCT5,1
A(0l5Qhu#pd_,2
zqmas,0
IqKhatnCGw,1
",XDj@2L8]'5",2
1hpooD0diR,1
BMHYpVITu,1
mhhavd,0
ukMPkreU,1
jahn,0
cD8Yetf,1
pxqj,0
xxpdh,0
hkvqft,0
kdqngo,0
gmwsdv,0
tukbli,0
iuhvhd,0
",,^8|(VZ9uy",2
G35Kluf,1
O0JduviTMp,1
d5ZqoThzO,1
hnqjra,0
`O.7%8_R0r|,2
"1mzdRf""9Au;-BH",2
idog,0
hyRCbt72,1
hl4VJCvX3h,1
khej,0
giqyse,0
atjuyd,0
lPF0rmkdP,1
Cyj/fk11Td,2
KkoSSbC,1
bUc6axlZdD/kyk,2
#w{|JP1!P`j{3TO,2
A98CGnv,1
gfgq,0
pBkRi2tHpb,1
J9o`PJ$FtUl?,2
dmbnh,0
JeJO#'suX{&XT,2
vesjwi,0
I`w*toq{7XhN,2
N=.jg$fEkh,2
h8gXbUdQ,1
deuvb,0
Zjmpe274bu,1
arN82wpC,1
TyYDICy4,1
Ynh{=_F9yb/6NR,2
tvzct,0
CEr9TjW,1
mwCK2IM,1
fsplxs,0
"^}AMRTrZx~""n/",2
d*vslE80!G,2
"e?#90ZHl""v3u",2
lq7qBEb76v,1
ilaMN9RRqT,1
ziII0zcD,1
gZEDi5s,1
u~5BXgs~X),2
aB&Vi1!I*:,2
jqys,0
"d(,S@}@%Dq",2
tOFMFB)E{y*i,2
ituyko,0
u=gG8Kmd>gmc(o,2
4BKYZ3bf,1
lsRTASMCi,1
duexi,0
o~@|$r0W(9ry^M),2
loqnPxf7i,1
[-isg!#b'#&MHUF,2
q0tc0-UHbK>{4f,2
lmWiRerB0Z,1
tuqygv,0
zaijp,0
nhabHTI,1
Lr3yI6qr,1
jdyzqy,0
qwfN5zq4,1
jbeewu,0
tece,0
zuxe,0
bzhrip,0
nkyk,0
ytyMvOg5muyy~G,2
qomfb,0
wfppc,0
Lc5lBW4l,1
xzws,0
vmahoe,0
nw6v44e0z,1
kktjti,0
pfbhlh,0
r5Y+(=glcrS,2
0Mjvxwv99,1
<9IBqx!4}(p,2
fjzbsn,0
xaghp,0
fjtyyw,0
",4t`<jec1S",2
atyn,0
bCZjyUAalj,1
qokuyd,0
"k4wSpvd""<hFMSR",2
p8TWmfB9M,1
"!x7U""4_}J)VX0",2
sobaon,0
vHsJsIC51,1
rwwg,0
mzrajd,0
g)o%Hvjk.epNT+,2
xjdgcq,0
zicl,0
rhOy9imky,1
tNHdRfGc,1
3a^dzk_2zg-z|:8,2
dgkwkq,0
EKKOpdpu\2&J>48,2
i*<$Wze/L{Gd?y,2
CMUL[vpdN}&gq{~,2
ntnea,0
>t:|ay>PDu`w,2
]%j!hv*1.i+,2
vhmgp,0
tqqn,0
=iOc3gT:V&?#z7S,2
sdbsdg,0
penaqv,0
xgkod,0
E6q!yst<gD@6,2
wqct,0
mddchw,0
jPFGLix)!%\3\,2
cujqwr,0
hdBJn2a,1
t+bv?;E'xS,2
=lqw7c0<I7kY,2
"z\-)""@PV-h&e@",2
MSZJitd,1
tspv,0
QS~T9G%9(b0!(,2
RE*$miSdntH77Q,2
xfjcni,0
GEkDHvsWw+]%v,2
dzkia,0
YFNy1MK7,1
ascr,0
EjIUy0Bx,1
*b62q4l#JD,2
aL0YJU7KqV,1
ErM02jw,1
"#S""0ly^F8Q\Tt$.",2
yXylL2Bb5,1
K0Qp1WS,1
nhlvxc,0
Asz7GPtZN8\,2
sled,0
3R3g7fa,1
czxi,0
FUdXbA7yGd,1
mmybhx,0
'`8s[bHt)uiTJ,2
%@v'7*-}jj@8~,2
FMM$cJw#\dm,2
zltq,0
egdkpf,0
"~X#,gm""6AC3\m9",2
ailyja,0
MfKhFSkgm5,1
j3xKVNc,1
ewna,0
M1BvOGBzAr,1
OCVE16K8A{^/_,2
Xqc86yLJ1,1
lkH0w98Z,1
